iter	Passed	Remaining
0	20	20120
1	28	13984
2	35	11791
3	43	10895
4	51	10167
5	58	9709
6	67	9523
7	75	9383
8	82	9119
9	90	8944
10	97	8807
11	105	8699
12	113	8589
13	120	8512
14	128	8434
15	136	8381
16	143	8320
17	151	8258
18	159	8211
19	167	8211
20	175	8204
21	183	8165
22	191	8120
23	198	8078
24	206	8053
25	214	8017
26	222	8018
27	230	8012
28	238	7997
29	247	8013
30	256	8013
31	264	8008
32	272	7986
33	280	7970
34	288	7962
35	296	7927
36	304	7918
37	312	7911
38	321	7930
39	330	7929
40	338	7913
41	347	7928
42	355	7923
43	364	7925
44	373	7921
45	383	7947
46	392	7958
47	401	7963
48	411	7989
49	420	7992
50	429	7999
51	439	8019
52	449	8023
53	458	8023
54	466	8012
55	475	8017
56	483	8003
57	492	7991
58	501	8002
59	510	7990
60	518	7985
61	526	7972
62	535	7965
63	544	7959
64	552	7948
65	561	7940
66	569	7925
67	578	7927
68	587	7923
69	596	7918
70	605	7920
71	613	7910
72	622	7908
73	631	7905
74	640	7902
75	648	7890
76	657	7880
77	665	7868
78	675	7876
79	683	7863
80	692	7857
81	701	7852
82	709	7839
83	718	7830
84	727	7829
85	735	7818
86	744	7807
87	752	7797
88	762	7801
89	770	7793
90	779	7785
91	787	7775
92	796	7768
93	804	7755
94	812	7743
95	821	7738
96	829	7723
97	838	7713
98	846	7703
99	854	7692
100	862	7679
101	871	7671
102	879	7660
103	887	7647
104	896	7637
105	905	7636
106	914	7628
107	922	7617
108	931	7615
109	940	7607
110	948	7595
111	957	7588
112	965	7582
113	974	7574
114	982	7564
115	991	7554
116	1000	7547
117	1008	7540
118	1017	7533
119	1026	7527
120	1034	7517
121	1043	7506
122	1052	7506
123	1060	7493
124	1069	7487
125	1078	7478
126	1087	7475
127	1096	7467
128	1105	7465
129	1114	7458
130	1122	7448
131	1130	7434
132	1138	7421
133	1147	7415
134	1155	7401
135	1163	7390
136	1171	7379
137	1180	7372
138	1188	7359
139	1196	7348
140	1204	7338
141	1212	7326
142	1220	7312
143	1244	7396
144	1252	7387
145	1261	7378
146	1269	7369
147	1277	7353
148	1285	7344
149	1294	7333
150	1302	7321
151	1310	7309
152	1318	7299
153	1326	7287
154	1335	7278
155	1343	7267
156	1351	7257
157	1359	7243
158	1367	7233
159	1375	7221
160	1383	7210
161	1391	7196
162	1398	7183
163	1407	7172
164	1415	7161
165	1422	7149
166	1431	7140
167	1440	7133
168	1448	7121
169	1456	7109
170	1463	7096
171	1472	7088
172	1480	7075
173	1489	7069
174	1498	7062
175	1506	7052
176	1514	7041
177	1522	7029
178	1530	7018
179	1538	7008
180	1545	6995
181	1554	6984
182	1561	6972
183	1569	6961
184	1579	6957
185	1586	6944
186	1594	6930
187	1601	6915
188	1608	6901
189	1615	6887
190	1622	6873
191	1631	6864
192	1638	6852
193	1646	6839
194	1653	6827
195	1662	6818
196	1669	6805
197	1677	6795
198	1685	6784
199	1693	6774
200	1700	6760
201	1708	6749
202	1715	6736
203	1724	6727
204	1730	6712
205	1739	6702
206	1746	6692
207	1756	6687
208	1764	6678
209	1772	6666
210	1779	6653
211	1787	6643
212	1794	6630
213	1801	6618
214	1810	6608
215	1817	6597
216	1825	6586
217	1832	6574
218	1840	6563
219	1847	6551
220	1855	6540
221	1862	6527
222	1870	6517
223	1878	6509
224	1886	6497
225	1894	6487
226	1902	6478
227	1909	6466
228	1917	6457
229	1925	6447
230	1934	6439
231	1941	6427
232	1949	6417
233	1957	6406
234	1964	6396
235	1973	6387
236	1980	6377
237	1988	6366
238	1996	6357
239	2004	6346
240	2012	6337
241	2019	6326
242	2027	6316
243	2034	6304
244	2042	6295
245	2050	6284
246	2059	6278
247	2066	6266
248	2073	6254
249	2081	6244
250	2090	6236
251	2097	6225
252	2105	6215
253	2113	6208
254	2121	6197
255	2129	6188
256	2137	6178
257	2144	6166
258	2151	6155
259	2159	6145
260	2166	6134
261	2173	6123
262	2181	6111
263	2189	6102
264	2196	6093
265	2204	6083
266	2211	6072
267	2219	6062
268	2226	6051
269	2234	6042
270	2242	6031
271	2250	6022
272	2257	6011
273	2265	6003
274	2274	5995
275	2282	5987
276	2289	5975
277	2296	5965
278	2304	5955
279	2313	5948
280	2321	5939
281	2328	5928
282	2335	5918
283	2344	5911
284	2352	5901
285	2359	5891
286	2367	5881
287	2375	5873
288	2383	5865
289	2391	5854
290	2398	5844
291	2406	5834
292	2413	5823
293	2421	5813
294	2428	5804
295	2436	5794
296	2444	5784
297	2451	5776
298	2459	5765
299	2467	5756
300	2474	5745
301	2481	5735
302	2489	5727
303	2497	5717
304	2504	5707
305	2513	5700
306	2520	5690
307	2528	5680
308	2535	5670
309	2543	5660
310	2552	5654
311	2560	5646
312	2568	5637
313	2576	5628
314	2583	5618
315	2591	5608
316	2598	5598
317	2605	5588
318	2614	5580
319	2621	5570
320	2628	5560
321	2636	5552
322	2644	5543
323	2653	5535
324	2661	5527
325	2670	5520
326	2677	5511
327	2685	5502
328	2694	5495
329	2703	5487
330	2710	5477
331	2717	5467
332	2726	5461
333	2734	5452
334	2741	5441
335	2749	5434
336	2757	5424
337	2765	5415
338	2773	5407
339	2782	5400
340	2789	5391
341	2797	5383
342	2805	5373
343	2813	5364
344	2820	5355
345	2828	5346
346	2835	5336
347	2844	5328
348	2853	5322
349	2863	5317
350	2873	5312
351	2881	5304
352	2890	5297
353	2898	5289
354	2906	5281
355	2913	5271
356	2922	5263
357	2929	5252
358	2936	5243
359	2943	5233
360	2951	5224
361	2959	5216
362	2967	5207
363	2974	5197
364	2981	5187
365	2989	5177
366	2997	5169
367	3004	5159
368	3012	5150
369	3019	5141
370	3027	5133
371	3034	5123
372	3042	5113
373	3049	5104
374	3058	5097
375	3066	5089
376	3074	5079
377	3081	5070
378	3089	5061
379	3096	5052
380	3105	5044
381	3112	5036
382	3120	5027
383	3128	5018
384	3135	5009
385	3143	5000
386	3151	4991
387	3158	4981
388	3166	4973
389	3173	4963
390	3182	4956
391	3189	4946
392	3197	4938
393	3205	4929
394	3212	4920
395	3219	4911
396	3227	4901
397	3233	4891
398	3241	4883
399	3249	4873
400	3256	4864
401	3264	4855
402	3272	4847
403	3279	4838
404	3288	4830
405	3295	4821
406	3303	4812
407	3310	4803
408	3318	4794
409	3325	4785
410	3332	4776
411	3340	4767
412	3348	4759
413	3356	4751
414	3364	4742
415	3372	4733
416	3379	4725
417	3387	4716
418	3394	4706
419	3401	4697
420	3409	4688
421	3416	4679
422	3424	4671
423	3431	4662
424	3439	4653
425	3447	4644
426	3455	4637
427	3464	4629
428	3471	4620
429	3478	4611
430	3487	4603
431	3495	4596
432	3503	4587
433	3511	4579
434	3518	4570
435	3527	4563
436	3535	4554
437	3543	4546
438	3550	4536
439	3557	4527
440	3565	4518
441	3572	4509
442	3579	4500
443	3586	4491
444	3594	4482
445	3601	4474
446	3609	4465
447	3617	4457
448	3624	4448
449	3632	4439
450	3640	4431
451	3647	4422
452	3655	4413
453	3662	4404
454	3670	4396
455	3678	4387
456	3685	4378
457	3692	4369
458	3700	4361
459	3708	4353
460	3715	4344
461	3722	4335
462	3730	4327
463	3738	4318
464	3746	4310
465	3753	4301
466	3761	4293
467	3769	4284
468	3777	4276
469	3784	4267
470	3792	4258
471	3799	4249
472	3806	4240
473	3813	4232
474	3821	4223
475	3828	4215
476	3836	4206
477	3844	4198
478	3852	4190
479	3859	4181
480	3867	4173
481	3874	4163
482	3882	4155
483	3889	4147
484	3897	4138
485	3905	4130
486	3912	4121
487	3919	4112
488	3927	4104
489	3934	4094
490	3942	4086
491	3949	4078
492	3957	4069
493	3964	4061
494	3972	4053
495	3980	4044
496	3987	4035
497	3994	4026
498	4003	4019
499	4010	4010
500	4017	4001
501	4025	3993
502	4032	3984
503	4040	3975
504	4047	3967
505	4055	3959
506	4062	3950
507	4070	3941
508	4078	3933
509	4085	3925
510	4093	3916
511	4100	3908
512	4108	3900
513	4115	3891
514	4122	3882
515	4130	3873
516	4138	3865
517	4145	3857
518	4152	3848
519	4160	3840
520	4168	3832
521	4175	3823
522	4183	3815
523	4191	3807
524	4198	3798
525	4205	3789
526	4213	3781
527	4222	3775
528	4231	3767
529	4239	3759
530	4247	3751
531	4254	3743
532	4263	3735
533	4270	3726
534	4278	3718
